City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,kazanka,47.8462,32.8218,10.98,77,100,3.03,UA,1681847052
310,pyt-yakh,60.7499,72.8582,-12.71,96,45,2.87,RU,1681847052
311,alo,7.4178,6.7371,26.52,79,100,0.34,NG,1681846982
312,noumea,-22.2763,166.4572,25.56,99,99,2.88,NC,1681846314
313,sassandra,4.95,-6.0833,27.17,85,24,2.88,CI,1681847052
314,east ballina,-28.8667,153.5833,16.0,69,100,4.1,AU,1681847053
315,cooper's town,26.8667,-77.5167,23.18,67,0,6.51,BS,1681846842
316,tsuma,32.1,131.4,18.97,93,100,2.45,JP,1681847053
317,sisimiut,66.9395,-53.6735,-5.33,81,100,5.37,GL,1681847053
318,nizhnesortymskiy,62.4397,71.7603,-9.98,91,99,4.81,RU,1681847054
319,pundong,-7.9522,110.3486,24.51,90,89,1.84,ID,1681847054
320,mejit,10.2753,170.8646,26.77,78,100,6.66,MH,1681847054
321,boli,45.7667,130.5167,2.74,89,49,1.85,CN,1681847054
322,karaton,-6.3424,106.1045,23.41,92,100,0.53,ID,1681847055
323,port augusta,-32.5,137.7667,16.2,72,93,7.86,AU,1681847055
324,batumi,41.6416,41.6359,15.99,72,75,2.06,GE,1681847055
325,kingston,17.997,-76.7936,29.58,71,20,5.14,JM,1681847055
326,okha,53.5739,142.9478,-4.07,93,15,0.9,RU,1681847055
327,pandan,14.0453,124.1694,25.8,84,82,2.97,PH,1681847055
328,katsuura,35.1333,140.3,17.3,87,85,10.4,JP,1681846981
329,lobujya,27.95,86.8167,-11.36,57,53,2.66,NP,1681847056
330,silifke,36.3778,33.9344,20.58,47,64,0.53,TR,1681847056
331,porto novo,6.4965,2.6036,29.9,78,68,3.79,BJ,1681847057
332,itaguai,-22.8522,-43.7753,28.79,78,75,4.12,BR,1681847057
333,vila franca do campo,37.7167,-25.4333,15.23,67,100,1.97,PT,1681846875
334,engel's,51.5,46.1167,10.82,11,100,0.89,RU,1681847057
